task,path,image_sha256,true_label,predicted_label,confidence,correct,quantitative_sample,gallery_reason,max_probability_difference,cam_status,cam_path,top20_drop,random20_drop,paired_drop_advantage,border_mass
tumor,data/brain_tumor/Testing/glioma/Te-glTr_0003.jpg,216b65a45d7effb4ebce1c9893f97d12449c9da777f81859f752513d2a0f9c61,glioma,glioma,0.8623148798942566,1,1,,7.554104382023752e-07,ok,maps/tumor_c58e5d67275b.npy,0.4350229501724243,0.26231488585472107,0.17270806431770325,0.038527440279722214
tumor,data/brain_tumor/Testing/glioma/Te-gl_0012.jpg,d3919a620ad5aee91a2f2991fcb5c4c6d21fc30aafca09cc8e9768bc0dc10f28,glioma,glioma,0.9597443342208862,1,1,,3.620017974270695e-08,ok,maps/tumor_37329cc1abf2.npy,0.32735711336135864,0.5597443580627441,-0.2323872447013855,0.0350615568459034
tumor,data/brain_tumor/Testing/glioma/Te-gl_0013.jpg,008f7fea9cbb6d61aa406db657479bf8437355ffff3b894a807c8d7b81d7e628,glioma,glioma,0.9571386575698853,1,1,,9.0445519931176e-08,ok,maps/tumor_39a1e4340f7f.npy,0.6622058153152466,0.1571386605501175,0.5050671547651291,0.03574163839221001
tumor,data/brain_tumor/Testing/glioma/Te-gl_0015.jpg,2d33e035b533d94e310dce9c7925ede0fc88b85796079304e3da37a2e9ce0326,glioma,glioma,0.9746299982070923,1,1,,5.697569415395731e-08,ok,maps/tumor_ecc3ac8e0ac8.npy,0.21685975790023804,0.37463000416755676,-0.15777024626731873,0.03161328285932541
tumor,data/brain_tumor/Testing/glioma/Te-gl_0016.jpg,085a411f8f51f72f45fb4f3452e62a43e31c74bbcfe5404bff529ebfe0218e59,glioma,glioma,0.9756012558937073,1,1,,2.7712284689229705e-08,ok,maps/tumor_96b13c2b316a.npy,0.16124767065048218,0.3583071827888489,-0.1970595121383667,0.03929793834686279
tumor,data/brain_tumor/Testing/glioma/Te-gl_0044.jpg,989de8b8b3ba83496e5ae82b259a88ded06a9c3eb6f661222ec53835cf8c1adf,glioma,glioma,0.9619453549385071,1,1,,7.279036029483876e-08,ok,maps/tumor_a78f980b7f28.npy,0.46512216329574585,0.36194533109664917,0.10317683219909668,0.04718644917011261
tumor,data/brain_tumor/Testing/glioma/Te-gl_0047.jpg,6584c508ad8274ed5c7f250e5b963a8b024e0a05feeb5013f432ff30c06e2b07,glioma,glioma,0.8892260193824768,1,1,,3.4437736329273605e-07,ok,maps/tumor_0b13cac2a0c3.npy,0.8244390487670898,0.48922601342201233,0.3352130353450775,0.02421555109322071
tumor,data/brain_tumor/Testing/glioma/Te-gl_0049.jpg,fefb12d6ec3e6860e414835742f625f628be4559f3be5b6e6bfdbcdde9aa91fb,glioma,glioma,0.9749556183815002,1,1,,3.768192291531136e-08,ok,maps/tumor_5bfcc500eee6.npy,0.45084643363952637,0.17495562136173248,0.2758908122777939,0.03016629070043564
tumor,data/brain_tumor/Testing/glioma/Te-gl_0052.jpg,add3639ad235b08ac82b01c9c18f277acfa9f4d0a614402f3843368eb17d9b53,glioma,glioma,0.962097704410553,1,1,,3.732351775385945e-08,ok,maps/tumor_7f7d8aaca439.npy,0.08444756269454956,0.36209768056869507,-0.2776501178741455,0.036017898470163345
tumor,data/brain_tumor/Testing/glioma/Te-gl_0057.jpg,0965f7c1f03c075eac60f7d4892f7cfc779c01ccf2fff694e92c2f2240898cee,glioma,glioma,0.9339443445205688,1,1,,3.228357186024766e-07,ok,maps/tumor_c1a8a585f8f2.npy,0.32865482568740845,0.1339443475008011,0.19471047818660736,0.03527139499783516
